web-scraper-order,web-scraper-start-url,pokemon_normaux,pokemon_normaux-href,id_pokemon,nom_pokemon,taille,poids,Points de vie de base,Attaque de base,Défense de base,Attaque spéciale de base,Défense spéciale de base,Vitesse de base,Type_pokemon1-src
"1530535678-1954","https://ivpokemon.fr/liste-pokemon","Électhor","https://ivpokemon.fr/infos-pokemon?id=145","#145","Électhor","1.6 m","52.6 kg","90","90","85","125","90","100","https://ivpokemon.fr/ressources/images/types/3.png"
"1530534518-1251","https://ivpokemon.fr/liste-pokemon","Scalproie","https://ivpokemon.fr/infos-pokemon?id=625","#625","Scalproie","1.6 m","70 kg","65","125","100","60","70","70","https://ivpokemon.fr/ressources/images/types/9.png"
"1530535505-1878","https://ivpokemon.fr/liste-pokemon","Noctali","https://ivpokemon.fr/infos-pokemon?id=197","#197","Noctali","1 m","27 kg","95","65","110","60","130","65","https://ivpokemon.fr/ressources/images/types/17.png"
"1530534927-1517","https://ivpokemon.fr/liste-pokemon","Mime Jr.","https://ivpokemon.fr/infos-pokemon?id=439","#439","Mime Jr.","0.6 m","13 kg","20","25","45","70","90","60","https://ivpokemon.fr/ressources/images/types/14.png"
"1530535053-1605","https://ivpokemon.fr/liste-pokemon","Latias","https://ivpokemon.fr/infos-pokemon?id=380","#380","Latias","1.4 m","40 kg","80","80","90","110","130","110","https://ivpokemon.fr/ressources/images/types/14.png"
"1530535765-2009","https://ivpokemon.fr/liste-pokemon","Osselait","https://ivpokemon.fr/infos-pokemon?id=104","#104","Osselait","0.4 m","6.5 kg","50","50","95","40","50","35","https://ivpokemon.fr/ressources/images/types/5.png"
"1530534590-1298","https://ivpokemon.fr/liste-pokemon","Gaulet","https://ivpokemon.fr/infos-pokemon?id=591","#591","Gaulet","0.6 m","10.5 kg","114","85","70","85","80","30","https://ivpokemon.fr/ressources/images/types/12.png"
"1530534479-1218","https://ivpokemon.fr/liste-pokemon","Reshiram","https://ivpokemon.fr/infos-pokemon?id=643","#643","Reshiram","3.2 m","330 kg","100","120","100","150","120","90","https://ivpokemon.fr/ressources/images/types/10.png"
"1530534328-1106","https://ivpokemon.fr/liste-pokemon","Sonistrelle","https://ivpokemon.fr/infos-pokemon?id=714","#714","Sonistrelle","0.5 m","8 kg","40","30","35","45","40","55","https://ivpokemon.fr/ressources/images/types/16.png"
"1530535825-2053","https://ivpokemon.fr/liste-pokemon","Grolem","https://ivpokemon.fr/infos-pokemon?id=76","#76","Grolem","1.4 m","300 kg","80","120","130","55","65","45","https://ivpokemon.fr/ressources/images/types/5.png"
"1530534757-1405","https://ivpokemon.fr/liste-pokemon","Poichigeon","https://ivpokemon.fr/infos-pokemon?id=519","#519","Poichigeon","0.3 m","2.1 kg","50","55","50","36","30","43","https://ivpokemon.fr/ressources/images/types/1.png"
"1530535640-1932","https://ivpokemon.fr/liste-pokemon","Hoothoot","https://ivpokemon.fr/infos-pokemon?id=163","#163","Hoothoot","0.7 m","21.2 kg","60","30","30","36","56","50","https://ivpokemon.fr/ressources/images/types/1.png"
"1530534246-1043","https://ivpokemon.fr/liste-pokemon","Tarenbulle","https://ivpokemon.fr/infos-pokemon?id=752","#752","Tarenbulle","1.8 m","82 kg","68","70","92","50","132","42","https://ivpokemon.fr/ressources/images/types/11.png"
"1530534995-1564","https://ivpokemon.fr/liste-pokemon","Roserade","https://ivpokemon.fr/infos-pokemon?id=407","#407","Roserade","0.9 m","14.5 kg","60","70","65","125","105","90","https://ivpokemon.fr/ressources/images/types/12.png"
"1530535625-1919","https://ivpokemon.fr/liste-pokemon","Loupio","https://ivpokemon.fr/infos-pokemon?id=170","#170","Loupio","0.5 m","12 kg","75","38","38","56","56","67","https://ivpokemon.fr/ressources/images/types/13.png"
"1530534358-1128","https://ivpokemon.fr/liste-pokemon","Nymphali","https://ivpokemon.fr/infos-pokemon?id=700","#700","Nymphali","1 m","23.5 kg","95","65","65","110","130","60","https://ivpokemon.fr/ressources/images/types/18.png"
"1530535354-1774","https://ivpokemon.fr/liste-pokemon","Blindalys","https://ivpokemon.fr/infos-pokemon?id=268","#268","Blindalys","0.7 m","11.5 kg","50","35","55","25","25","15","https://ivpokemon.fr/ressources/images/types/7.png"
"1530534644-1325","https://ivpokemon.fr/liste-pokemon","Chinchidou","https://ivpokemon.fr/infos-pokemon?id=572","#572","Chinchidou","0.4 m","5.8 kg","55","50","40","40","40","75","https://ivpokemon.fr/ressources/images/types/1.png"
"1530534484-1221","https://ivpokemon.fr/liste-pokemon","Boréas","https://ivpokemon.fr/infos-pokemon?id=641","#641","Boréas","1.5 m","63 kg","79","115","70","125","80","111","https://ivpokemon.fr/ressources/images/types/3.png"
"1530535206-1708","https://ivpokemon.fr/liste-pokemon","Charmina","https://ivpokemon.fr/infos-pokemon?id=308","#308","Charmina","1.3 m","31.5 kg","60","60","75","60","75","80","https://ivpokemon.fr/ressources/images/types/14.png"
"1530535593-1896","https://ivpokemon.fr/liste-pokemon","Simularbre","https://ivpokemon.fr/infos-pokemon?id=185","#185","Simularbre","1.2 m","38 kg","70","100","115","30","65","30","https://ivpokemon.fr/ressources/images/types/6.png"
"1530534177-991","https://ivpokemon.fr/liste-pokemon","Ékaïser","https://ivpokemon.fr/infos-pokemon?id=784","#784","Ékaïser","1.6 m","78.2 kg","75","110","125","100","105","85","https://ivpokemon.fr/ressources/images/types/16.png"
"1530535959-2106","https://ivpokemon.fr/liste-pokemon","Grodoudou","https://ivpokemon.fr/infos-pokemon?id=40","#40","Grodoudou","1 m","12 kg","140","70","45","85","50","45","https://ivpokemon.fr/ressources/images/types/18.png"
"1530535725-1986","https://ivpokemon.fr/liste-pokemon","Insécateur","https://ivpokemon.fr/infos-pokemon?id=123","#123","Insécateur","1.5 m","56 kg","70","110","80","55","80","105","https://ivpokemon.fr/ressources/images/types/3.png"
"1530534270-1061","https://ivpokemon.fr/liste-pokemon","Plumeline","https://ivpokemon.fr/infos-pokemon?id=741","#741","Plumeline","0.6 m","3.4 kg","75","70","70","98","70","93","https://ivpokemon.fr/ressources/images/types/3.png"
"1530535964-2109","https://ivpokemon.fr/liste-pokemon","Feunard","https://ivpokemon.fr/infos-pokemon?id=38","#38","Feunard","1.1 m","19.9 kg","73","76","75","81","100","100","https://ivpokemon.fr/ressources/images/types/10.png"
"1530534233-1033","https://ivpokemon.fr/liste-pokemon","Malamandre","https://ivpokemon.fr/infos-pokemon?id=758","#758","Malamandre","0.6 m","22.2 kg","68","64","60","111","60","117","https://ivpokemon.fr/ressources/images/types/4.png"
"1530534371-1139","https://ivpokemon.fr/liste-pokemon","Galvaran","https://ivpokemon.fr/infos-pokemon?id=694","#694","Galvaran","0.5 m","6 kg","44","38","33","61","43","70","https://ivpokemon.fr/ressources/images/types/13.png"
"1530534798-1426","https://ivpokemon.fr/liste-pokemon","Roitiflam","https://ivpokemon.fr/infos-pokemon?id=500","#500","Roitiflam","1.6 m","150 kg","110","123","65","100","65","65","https://ivpokemon.fr/ressources/images/types/2.png"
"1530534657-1332","https://ivpokemon.fr/liste-pokemon","Arkéapti","https://ivpokemon.fr/infos-pokemon?id=566","#566","Arkéapti","0.5 m","9.5 kg","55","112","45","74","45","70","https://ivpokemon.fr/ressources/images/types/6.png"
"1530535129-1654","https://ivpokemon.fr/liste-pokemon","Kaorine","https://ivpokemon.fr/infos-pokemon?id=344","#344","Kaorine","1.5 m","108 kg","60","70","105","70","120","75","https://ivpokemon.fr/ressources/images/types/5.png"
"1530534265-1056","https://ivpokemon.fr/liste-pokemon","Rubombelle","https://ivpokemon.fr/infos-pokemon?id=743","#743","Rubombelle","0.2 m","0.5 kg","60","55","60","95","70","124","https://ivpokemon.fr/ressources/images/types/7.png"
"1530535068-1616","https://ivpokemon.fr/liste-pokemon","Drattak","https://ivpokemon.fr/infos-pokemon?id=373","#373","Drattak","1.5 m","102.6 kg","95","135","80","110","80","100","https://ivpokemon.fr/ressources/images/types/3.png"
"1530535439-1828","https://ivpokemon.fr/liste-pokemon","Malosse","https://ivpokemon.fr/infos-pokemon?id=228","#228","Malosse","0.6 m","10.8 kg","45","60","30","80","50","65","https://ivpokemon.fr/ressources/images/types/17.png"
"1530536061-2128","https://ivpokemon.fr/liste-pokemon","Rapasdepic","https://ivpokemon.fr/infos-pokemon?id=22","#22","Rapasdepic","1.2 m","38 kg","65","90","65","61","61","100","https://ivpokemon.fr/ressources/images/types/3.png"
"1530534272-1063","https://ivpokemon.fr/liste-pokemon","Crabominable","https://ivpokemon.fr/infos-pokemon?id=740","#740","Crabominable","1.7 m","180 kg","97","132","77","62","67","43","https://ivpokemon.fr/ressources/images/types/15.png"
"1530534942-1529","https://ivpokemon.fr/liste-pokemon","Chaffreux","https://ivpokemon.fr/infos-pokemon?id=432","#432","Chaffreux","1 m","43.8 kg","71","82","64","64","59","112","https://ivpokemon.fr/ressources/images/types/1.png"
"1530535437-1827","https://ivpokemon.fr/liste-pokemon","Démolosse","https://ivpokemon.fr/infos-pokemon?id=229","#229","Démolosse","1.4 m","35 kg","75","90","50","110","80","95","https://ivpokemon.fr/ressources/images/types/10.png"
"1530535806-2037","https://ivpokemon.fr/liste-pokemon","Dodrio","https://ivpokemon.fr/infos-pokemon?id=85","#85","Dodrio","1.8 m","85.2 kg","60","110","70","60","60","100","https://ivpokemon.fr/ressources/images/types/3.png"
"1530535976-2116","https://ivpokemon.fr/liste-pokemon","Nidoran ♂","https://ivpokemon.fr/infos-pokemon?id=32","#32","Nidoran ♂","0.5 m","9 kg","46","57","40","40","40","50","https://ivpokemon.fr/ressources/images/types/4.png"
"1530535729-1990","https://ivpokemon.fr/liste-pokemon","Staross","https://ivpokemon.fr/infos-pokemon?id=121","#121","Staross","1.1 m","80 kg","60","75","85","100","85","115","https://ivpokemon.fr/ressources/images/types/14.png"
"1530534275-1064","https://ivpokemon.fr/liste-pokemon","Crabagarre","https://ivpokemon.fr/infos-pokemon?id=739","#739","Crabagarre","0.6 m","7 kg","47","82","57","42","47","63","https://ivpokemon.fr/ressources/images/types/2.png"
"1530535836-2063","https://ivpokemon.fr/liste-pokemon","Empiflor","https://ivpokemon.fr/infos-pokemon?id=71","#71","Empiflor","1.7 m","15.5 kg","80","105","65","100","70","70","https://ivpokemon.fr/ressources/images/types/4.png"
"1530534787-1420","https://ivpokemon.fr/liste-pokemon","Miradar","https://ivpokemon.fr/infos-pokemon?id=505","#505","Miradar","1.1 m","27 kg","60","85","69","60","69","77","https://ivpokemon.fr/ressources/images/types/1.png"
"1530534153-971","https://ivpokemon.fr/liste-pokemon","Cancrelove","https://ivpokemon.fr/infos-pokemon?id=795","#795","Cancrelove","1.8 m","25 kg","71","137","37","137","37","151","https://ivpokemon.fr/ressources/images/types/7.png"
"1530535142-1665","https://ivpokemon.fr/liste-pokemon","Solaroc","https://ivpokemon.fr/infos-pokemon?id=338","#338","Solaroc","1.2 m","154 kg","70","95","85","55","65","70","https://ivpokemon.fr/ressources/images/types/6.png"
"1530534509-1244","https://ivpokemon.fr/liste-pokemon","Vostourno","https://ivpokemon.fr/infos-pokemon?id=629","#629","Vostourno","0.5 m","9 kg","70","55","75","45","65","60","https://ivpokemon.fr/ressources/images/types/3.png"
"1530535023-1584","https://ivpokemon.fr/liste-pokemon","Prinplouf","https://ivpokemon.fr/infos-pokemon?id=394","#394","Prinplouf","0.8 m","23 kg","64","66","68","81","76","50","https://ivpokemon.fr/ressources/images/types/11.png"
"1530534813-1435","https://ivpokemon.fr/liste-pokemon","Arceus","https://ivpokemon.fr/infos-pokemon?id=493","#493","Arceus","3.2 m","320 kg","120","120","120","120","120","120","https://ivpokemon.fr/ressources/images/types/1.png"
"1530534575-1285","https://ivpokemon.fr/liste-pokemon","Noacier","https://ivpokemon.fr/infos-pokemon?id=598","#598","Noacier","1 m","110 kg","74","94","131","54","116","20","https://ivpokemon.fr/ressources/images/types/12.png"
"1530534749-1399","https://ivpokemon.fr/liste-pokemon","Zéblitz","https://ivpokemon.fr/infos-pokemon?id=523","#523","Zéblitz","1.6 m","79.5 kg","75","100","63","80","63","116","https://ivpokemon.fr/ressources/images/types/13.png"
"1530534422-1174","https://ivpokemon.fr/liste-pokemon","Floette","https://ivpokemon.fr/infos-pokemon?id=670","#670","Floette","0.2 m","0.9 kg","54","45","47","75","98","52","https://ivpokemon.fr/ressources/images/types/18.png"
"1530534687-1355","https://ivpokemon.fr/liste-pokemon","Escroco","https://ivpokemon.fr/infos-pokemon?id=552","#552","Escroco","1 m","33.4 kg","60","82","45","45","45","74","https://ivpokemon.fr/ressources/images/types/5.png"
"1530534772-1413","https://ivpokemon.fr/liste-pokemon","Feuiloutan","https://ivpokemon.fr/infos-pokemon?id=512","#512","Feuiloutan","1.1 m","30.5 kg","75","98","63","98","63","101","https://ivpokemon.fr/ressources/images/types/12.png"
"1530535212-1714","https://ivpokemon.fr/liste-pokemon","Galegon","https://ivpokemon.fr/infos-pokemon?id=305","#305","Galegon","0.9 m","120 kg","60","90","140","50","50","40","https://ivpokemon.fr/ressources/images/types/6.png"
"1530534691-1359","https://ivpokemon.fr/liste-pokemon","Bargantua","https://ivpokemon.fr/infos-pokemon?id=550","#550","Bargantua","1 m","18 kg","70","92","65","80","55","98","https://ivpokemon.fr/ressources/images/types/11.png"
"1530535945-2091","https://ivpokemon.fr/liste-pokemon","Parasect","https://ivpokemon.fr/infos-pokemon?id=47","#47","Parasect","1 m","29.5 kg","60","95","80","60","80","30","https://ivpokemon.fr/ressources/images/types/7.png"
"1530534732-1388","https://ivpokemon.fr/liste-pokemon","Nanméouïe","https://ivpokemon.fr/infos-pokemon?id=531","#531","Nanméouïe","1.1 m","31 kg","103","60","86","60","86","50","https://ivpokemon.fr/ressources/images/types/1.png"
"1530534456-1199","https://ivpokemon.fr/liste-pokemon","Roussil","https://ivpokemon.fr/infos-pokemon?id=654","#654","Roussil","1 m","14.5 kg","59","59","58","90","70","73","https://ivpokemon.fr/ressources/images/types/10.png"
"1530535473-1856","https://ivpokemon.fr/liste-pokemon","Cizayox","https://ivpokemon.fr/infos-pokemon?id=212","#212","Cizayox","1.8 m","118 kg","70","130","100","55","80","65","https://ivpokemon.fr/ressources/images/types/9.png"
"1530535282-1720","https://ivpokemon.fr/liste-pokemon","Ténéfix","https://ivpokemon.fr/infos-pokemon?id=302","#302","Ténéfix","0.5 m","11 kg","50","75","75","65","65","50","https://ivpokemon.fr/ressources/images/types/8.png"
"1530535168-1684","https://ivpokemon.fr/liste-pokemon","Groret","https://ivpokemon.fr/infos-pokemon?id=326","#326","Groret","0.9 m","71.5 kg","80","45","65","90","110","80","https://ivpokemon.fr/ressources/images/types/14.png"
"1530535110-1641","https://ivpokemon.fr/liste-pokemon","Polichombr","https://ivpokemon.fr/infos-pokemon?id=353","#353","Polichombr","0.6 m","2.3 kg","44","75","35","63","33","45","https://ivpokemon.fr/ressources/images/types/8.png"
"1530534706-1370","https://ivpokemon.fr/liste-pokemon","Venipatte","https://ivpokemon.fr/infos-pokemon?id=543","#543","Venipatte","0.4 m","5.3 kg","30","45","59","30","39","57","https://ivpokemon.fr/ressources/images/types/7.png"
"1530536067-2132","https://ivpokemon.fr/liste-pokemon","Rattata","https://ivpokemon.fr/infos-pokemon?id=19","#19","Rattata","0.3 m","3.5 kg","30","56","35","25","35","72","https://ivpokemon.fr/ressources/images/types/1.png"
"1530534349-1121","https://ivpokemon.fr/liste-pokemon","Mucuscule","https://ivpokemon.fr/infos-pokemon?id=704","#704","Mucuscule","0.3 m","2.8 kg","45","50","35","55","75","40","https://ivpokemon.fr/ressources/images/types/16.png"
"1530535846-2070","https://ivpokemon.fr/liste-pokemon","Machoc","https://ivpokemon.fr/infos-pokemon?id=66","#66","Machoc","0.8 m","19.5 kg","70","80","50","35","35","35","https://ivpokemon.fr/ressources/images/types/2.png"
"1530534524-1257","https://ivpokemon.fr/liste-pokemon","Gringolem","https://ivpokemon.fr/infos-pokemon?id=622","#622","Gringolem","1 m","92 kg","59","74","50","35","50","35","https://ivpokemon.fr/ressources/images/types/8.png"
"1530536074-2137","https://ivpokemon.fr/liste-pokemon","Roucool","https://ivpokemon.fr/infos-pokemon?id=16","#16","Roucool","0.3 m","1.8 kg","40","45","40","35","35","56","https://ivpokemon.fr/ressources/images/types/1.png"
"1530534738-1392","https://ivpokemon.fr/liste-pokemon","Rhinolove","https://ivpokemon.fr/infos-pokemon?id=528","#528","Rhinolove","0.9 m","10.5 kg","67","57","55","77","55","114","https://ivpokemon.fr/ressources/images/types/14.png"
"1530534874-1476","https://ivpokemon.fr/liste-pokemon","Rhinastoc","https://ivpokemon.fr/infos-pokemon?id=464","#464","Rhinastoc","2.4 m","282.8 kg","115","140","130","55","55","40","https://ivpokemon.fr/ressources/images/types/5.png"
"1530534321-1101","https://ivpokemon.fr/liste-pokemon","Yveltal","https://ivpokemon.fr/infos-pokemon?id=717","#717","Yveltal","5.8 m","203 kg","126","131","95","131","98","99","https://ivpokemon.fr/ressources/images/types/3.png"
"1530534594-1302","https://ivpokemon.fr/liste-pokemon","Lançargot","https://ivpokemon.fr/infos-pokemon?id=589","#589","Lançargot","1 m","33 kg","70","135","105","60","105","20","https://ivpokemon.fr/ressources/images/types/7.png"
"1530535738-1994","https://ivpokemon.fr/liste-pokemon","Hypocéan","https://ivpokemon.fr/infos-pokemon?id=117","#117","Hypocéan","1.2 m","25 kg","55","65","95","95","45","85","https://ivpokemon.fr/ressources/images/types/11.png"
"1530534403-1163","https://ivpokemon.fr/liste-pokemon","Monorpale","https://ivpokemon.fr/infos-pokemon?id=679","#679","Monorpale","0.8 m","2 kg","45","80","100","35","37","28","https://ivpokemon.fr/ressources/images/types/9.png"
"1530535808-2039","https://ivpokemon.fr/liste-pokemon","Doduo","https://ivpokemon.fr/infos-pokemon?id=84","#84","Doduo","1.4 m","39.2 kg","35","85","45","35","35","75","https://ivpokemon.fr/ressources/images/types/3.png"
"1530534650-1328","https://ivpokemon.fr/liste-pokemon","Miasmax","https://ivpokemon.fr/infos-pokemon?id=569","#569","Miasmax","1.9 m","107.3 kg","80","95","82","60","82","75","https://ivpokemon.fr/ressources/images/types/4.png"
"1530534543-1267","https://ivpokemon.fr/liste-pokemon","Polarhume","https://ivpokemon.fr/infos-pokemon?id=613","#613","Polarhume","0.5 m","8.5 kg","55","70","40","60","40","40","https://ivpokemon.fr/ressources/images/types/15.png"
"1530535488-1866","https://ivpokemon.fr/liste-pokemon","Foretress","https://ivpokemon.fr/infos-pokemon?id=205","#205","Foretress","1.2 m","125.8 kg","75","90","140","60","60","40","https://ivpokemon.fr/ressources/images/types/7.png"
"1530535827-2055","https://ivpokemon.fr/liste-pokemon","Gravalanch","https://ivpokemon.fr/infos-pokemon?id=75","#75","Gravalanch","1 m","105 kg","55","95","115","45","45","35","https://ivpokemon.fr/ressources/images/types/5.png"
"1530535155-1676","https://ivpokemon.fr/liste-pokemon","Cacturne","https://ivpokemon.fr/infos-pokemon?id=332","#332","Cacturne","1.3 m","77.4 kg","70","115","60","115","60","55","https://ivpokemon.fr/ressources/images/types/17.png"
"1530535731-1991","https://ivpokemon.fr/liste-pokemon","Stari","https://ivpokemon.fr/infos-pokemon?id=120","#120","Stari","0.8 m","34.5 kg","30","45","55","70","55","85","https://ivpokemon.fr/ressources/images/types/11.png"
"1530534290-1075","https://ivpokemon.fr/liste-pokemon","Piclairon","https://ivpokemon.fr/infos-pokemon?id=732","#732","Piclairon","0.6 m","14.8 kg","55","85","50","40","50","75","https://ivpokemon.fr/ressources/images/types/3.png"
"1530534162-980","https://ivpokemon.fr/liste-pokemon","Solgaleo","https://ivpokemon.fr/infos-pokemon?id=791","#791","Solgaleo","3.4 m","230 kg","137","137","107","113","89","97","https://ivpokemon.fr/ressources/images/types/9.png"
"1530534281-1069","https://ivpokemon.fr/liste-pokemon","Larvibule","https://ivpokemon.fr/infos-pokemon?id=736","#736","Larvibule","0.4 m","4.4 kg","47","62","45","55","45","46","https://ivpokemon.fr/ressources/images/types/7.png"
"1530536139-2139","https://ivpokemon.fr/liste-pokemon","Dardargnan","https://ivpokemon.fr/infos-pokemon?id=15","#15","Dardargnan","1 m","29.5 kg","65","90","40","45","80","75","https://ivpokemon.fr/ressources/images/types/7.png"
"1530535949-2095","https://ivpokemon.fr/liste-pokemon","Rafflesia","https://ivpokemon.fr/infos-pokemon?id=45","#45","Rafflesia","1.2 m","18.6 kg","75","80","85","110","90","50","https://ivpokemon.fr/ressources/images/types/12.png"
"1530535420-1817","https://ivpokemon.fr/liste-pokemon","Kapoera","https://ivpokemon.fr/infos-pokemon?id=237","#237","Kapoera","1.4 m","48 kg","50","95","95","35","110","70","https://ivpokemon.fr/ressources/images/types/2.png"
"1530535648-1937","https://ivpokemon.fr/liste-pokemon","Crocrodil","https://ivpokemon.fr/infos-pokemon?id=159","#159","Crocrodil","1.1 m","25 kg","65","80","80","59","63","58","https://ivpokemon.fr/ressources/images/types/11.png"
"1530535953-2099","https://ivpokemon.fr/liste-pokemon","Mystherbe","https://ivpokemon.fr/infos-pokemon?id=43","#43","Mystherbe","0.5 m","5.4 kg","45","50","55","75","65","30","https://ivpokemon.fr/ressources/images/types/12.png"
"1530535629-1922","https://ivpokemon.fr/liste-pokemon","Migalos","https://ivpokemon.fr/infos-pokemon?id=168","#168","Migalos","1.1 m","33.5 kg","70","90","70","60","60","40","https://ivpokemon.fr/ressources/images/types/7.png"
"1530535157-1677","https://ivpokemon.fr/liste-pokemon","Cacnea","https://ivpokemon.fr/infos-pokemon?id=331","#331","Cacnea","0.4 m","51.3 kg","50","85","40","85","40","35","https://ivpokemon.fr/ressources/images/types/12.png"
"1530534721-1382","https://ivpokemon.fr/liste-pokemon","Batracné","https://ivpokemon.fr/infos-pokemon?id=536","#536","Batracné","0.8 m","17 kg","75","65","55","65","55","69","https://ivpokemon.fr/ressources/images/types/11.png"
"1530534375-1142","https://ivpokemon.fr/liste-pokemon","Flingouste","https://ivpokemon.fr/infos-pokemon?id=692","#692","Flingouste","0.5 m","8.3 kg","50","53","62","58","63","44","https://ivpokemon.fr/ressources/images/types/11.png"
"1530534189-1002","https://ivpokemon.fr/liste-pokemon","Mimiqui","https://ivpokemon.fr/infos-pokemon?id=778","#778","Mimiqui","0.2 m","0.7 kg","55","90","80","50","105","96","https://ivpokemon.fr/ressources/images/types/8.png"
"1530534530-1260","https://ivpokemon.fr/liste-pokemon","Kungfouine","https://ivpokemon.fr/infos-pokemon?id=619","#619","Kungfouine","0.9 m","20 kg","45","85","50","55","50","65","https://ivpokemon.fr/ressources/images/types/2.png"
"1530535193-1701","https://ivpokemon.fr/liste-pokemon","Lumivole","https://ivpokemon.fr/infos-pokemon?id=314","#314","Lumivole","0.6 m","17.7 kg","65","47","55","73","75","85","https://ivpokemon.fr/ressources/images/types/7.png"
"1530535131-1657","https://ivpokemon.fr/liste-pokemon","Balbuto","https://ivpokemon.fr/infos-pokemon?id=343","#343","Balbuto","0.5 m","21.5 kg","40","40","55","40","70","55","https://ivpokemon.fr/ressources/images/types/14.png"
"1530534976-1550","https://ivpokemon.fr/liste-pokemon","Apireine","https://ivpokemon.fr/infos-pokemon?id=416","#416","Apireine","1.2 m","38.5 kg","70","80","102","80","102","40","https://ivpokemon.fr/ressources/images/types/3.png"
"1530535708-1975","https://ivpokemon.fr/liste-pokemon","Lokhlass","https://ivpokemon.fr/infos-pokemon?id=131","#131","Lokhlass","2.5 m","220 kg","130","85","80","85","95","60","https://ivpokemon.fr/ressources/images/types/15.png"
"1530535812-2043","https://ivpokemon.fr/liste-pokemon","Magnéton","https://ivpokemon.fr/infos-pokemon?id=82","#82","Magnéton","1 m","60 kg","50","60","95","120","70","70","https://ivpokemon.fr/ressources/images/types/9.png"
"1530534147-967","https://ivpokemon.fr/liste-pokemon","Katagami","https://ivpokemon.fr/infos-pokemon?id=798","#798","Katagami","0.3 m","0.1 kg","59","181","131","59","31","109","https://ivpokemon.fr/ressources/images/types/9.png"
"1530534863-1469","https://ivpokemon.fr/liste-pokemon","Yanmega","https://ivpokemon.fr/infos-pokemon?id=469","#469","Yanmega","1.9 m","51.5 kg","86","76","86","116","56","95","https://ivpokemon.fr/ressources/images/types/7.png"
"1530534449-1195","https://ivpokemon.fr/liste-pokemon","Croâporal","https://ivpokemon.fr/infos-pokemon?id=657","#657","Croâporal","0.6 m","10.9 kg","54","63","52","83","56","97","https://ivpokemon.fr/ressources/images/types/11.png"
"1530535511-1882","https://ivpokemon.fr/liste-pokemon","Axoloto","https://ivpokemon.fr/infos-pokemon?id=194","#194","Axoloto","0.4 m","8.5 kg","55","45","45","25","25","15","https://ivpokemon.fr/ressources/images/types/11.png"
"1530535426-1820","https://ivpokemon.fr/liste-pokemon","Cerfrousse","https://ivpokemon.fr/infos-pokemon?id=234","#234","Cerfrousse","1.4 m","71.2 kg","73","95","62","85","65","85","https://ivpokemon.fr/ressources/images/types/1.png"
"1530535810-2040","https://ivpokemon.fr/liste-pokemon","Canarticho","https://ivpokemon.fr/infos-pokemon?id=83","#83","Canarticho","0.8 m","15 kg","52","65","55","58","62","60","https://ivpokemon.fr/ressources/images/types/1.png"
"1530534298-1081","https://ivpokemon.fr/liste-pokemon","Otaquin","https://ivpokemon.fr/infos-pokemon?id=728","#728","Otaquin","0.4 m","7.5 kg","50","54","54","66","56","40","https://ivpokemon.fr/ressources/images/types/11.png"
"1530534441-1188","https://ivpokemon.fr/liste-pokemon","Passerouge","https://ivpokemon.fr/infos-pokemon?id=661","#661","Passerouge","0.3 m","1.7 kg","45","50","43","40","38","62","https://ivpokemon.fr/ressources/images/types/1.png"
"1530534366-1135","https://ivpokemon.fr/liste-pokemon","Ptyranidur","https://ivpokemon.fr/infos-pokemon?id=696","#696","Ptyranidur","0.8 m","26 kg","58","89","77","45","45","48","https://ivpokemon.fr/ressources/images/types/6.png"
"1530534341-1115","https://ivpokemon.fr/liste-pokemon","Brocélôme","https://ivpokemon.fr/infos-pokemon?id=708","#708","Brocélôme","0.4 m","7 kg","43","70","48","50","60","38","https://ivpokemon.fr/ressources/images/types/8.png"
"1530535161-1680","https://ivpokemon.fr/liste-pokemon","Vibraninf","https://ivpokemon.fr/infos-pokemon?id=329","#329","Vibraninf","1.1 m","15.3 kg","50","70","50","50","50","70","https://ivpokemon.fr/ressources/images/types/5.png"
"1530534460-1202","https://ivpokemon.fr/liste-pokemon","Blindépique","https://ivpokemon.fr/infos-pokemon?id=652","#652","Blindépique","1.6 m","90 kg","88","107","122","74","75","64","https://ivpokemon.fr/ressources/images/types/2.png"
"1530534897-1494","https://ivpokemon.fr/liste-pokemon","Cradopaud","https://ivpokemon.fr/infos-pokemon?id=453","#453","Cradopaud","0.7 m","23 kg","48","61","40","61","40","50","https://ivpokemon.fr/ressources/images/types/4.png"
"1530534764-1409","https://ivpokemon.fr/liste-pokemon","Flotoutan","https://ivpokemon.fr/infos-pokemon?id=516","#516","Flotoutan","1 m","29 kg","75","98","63","98","63","101","https://ivpokemon.fr/ressources/images/types/11.png"
"1530534547-1269","https://ivpokemon.fr/liste-pokemon","Incisache","https://ivpokemon.fr/infos-pokemon?id=611","#611","Incisache","1 m","36 kg","66","117","70","40","50","67","https://ivpokemon.fr/ressources/images/types/16.png"
"1530534475-1214","https://ivpokemon.fr/liste-pokemon","Démétéros","https://ivpokemon.fr/infos-pokemon?id=645","#645","Démétéros","1.5 m","68 kg","89","125","90","115","80","101","https://ivpokemon.fr/ressources/images/types/3.png"
"1530534204-1013","https://ivpokemon.fr/liste-pokemon","Concombaffe","https://ivpokemon.fr/infos-pokemon?id=771","#771","Concombaffe","0.3 m","1.2 kg","55","60","130","30","130","5","https://ivpokemon.fr/ressources/images/types/11.png"
